id,name,text
1,Mahatma Gandhi,"Mahatma Gandhi, born Mohandas Karamchand Gandhi on 2 October 1869 in Porbandar, led India's freedom struggle through non-violent civil disobedience. He started the Non-Cooperation Movement in 1920, the Salt March (Dandi March) in 1930 to protest the British salt tax, and the Quit India Movement in 1942. He was assassinated on 30 January 1948 by Nathuram Godse. He is called the Father of the Nation."
2,Mahatma Gandhi,"Gandhi trained as a lawyer in London and first practiced satyagraha (non-violent resistance) in South Africa while fighting discrimination against Indians there. He returned to India in 1915 and slowly became the central figure of the Indian National Congress and the independence movement."
3,Bhagat Singh,"Bhagat Singh was born on 28 September 1907 in Banga, Punjab. He was a revolutionary who believed armed struggle, not just non-violence, was needed to free India. He threw a low-intensity bomb in the Central Legislative Assembly in 1929 along with Batukeshwar Dutt to protest repressive laws, without intending to kill anyone, and then surrendered himself."
4,Bhagat Singh,"Bhagat Singh was hanged by the British on 23 March 1931 along with Rajguru and Sukhdev for the murder of British police officer John Saunders, whom they mistook for Superintendent Scott. He was only 23 years old. He remains one of the most popular young revolutionaries in Indian history."
5,Subhas Chandra Bose,"Subhas Chandra Bose, popularly called Netaji, was born on 23 January 1897 in Cuttack, Odisha. He believed in militant nationalism and formed the Indian National Army (INA), also called Azad Hind Fauj, to fight the British with the help of Japan during World War II. His famous slogan was 'Give me blood, and I shall give you freedom.'"
6,Subhas Chandra Bose,"Bose was twice elected president of the Indian National Congress but resigned after differences with Gandhi. He escaped house arrest in India in 1941 and travelled to Germany and later Japan. His death in a plane crash in Taiwan on 18 August 1945 is still debated by historians."
7,Rani Lakshmibai,"Rani Lakshmibai was the queen of the princely state of Jhansi and one of the leading figures of the Revolt of 1857, India's First War of Independence. Born Manikarnika Tambe around 19 November 1828, she refused to hand over Jhansi to the British under the Doctrine of Lapse after her husband's death."
8,Rani Lakshmibai,"She fought the British forces dressed as a soldier and died on the battlefield near Gwalior on 17 or 18 June 1858. Even British General Hugh Rose admitted she was 'the bravest and best' of the rebel leaders. She is remembered as a symbol of resistance against colonial rule."
9,Sardar Vallabhbhai Patel,"Sardar Vallabhbhai Patel, born 31 October 1875 in Nadiad, Gujarat, is known as the Iron Man of India. He led the Bardoli Satyagraha in 1928, a successful tax revolt by farmers, which earned him the title 'Sardar' meaning leader."
10,Sardar Vallabhbhai Patel,"After independence, Patel served as India's first Deputy Prime Minister and Home Minister. He is best known for peacefully integrating over 560 princely states into the Indian Union, a task considered crucial to keeping India united."
11,Chandrashekhar Azad,"Chandrashekhar Azad, born 23 July 1906, was a revolutionary who vowed never to be captured alive by the British. He was a key member of the Hindustan Socialist Republican Association and mentored young revolutionaries including Bhagat Singh."
12,Chandrashekhar Azad,"On 27 February 1931, surrounded by police at Alfred Park in Allahabad, Azad shot himself with his last bullet rather than be arrested, keeping his vow. The park was later renamed Chandrashekhar Azad Park in his honor."
13,Lala Lajpat Rai,"Lala Lajpat Rai, known as 'Punjab Kesari' (Lion of Punjab), was born on 28 January 1865. He was part of the Lal-Bal-Pal trio, along with Bal Gangadhar Tilak and Bipin Chandra Pal, who pushed for more assertive, direct action against British rule instead of only petitions."
14,Lala Lajpat Rai,"In 1928 he led a protest against the Simon Commission, which had no Indian members. He was badly injured when police lathi-charged the protesters, and he died a few weeks later on 17 November 1928. His death is believed to have inspired Bhagat Singh's later actions."
15,Bal Gangadhar Tilak,"Bal Gangadhar Tilak, born 23 July 1856, was one of the first leaders to demand 'Swaraj' (self-rule) as a birthright. His famous quote was 'Swaraj is my birthright, and I shall have it.' He used platforms like the Ganesh Utsav and Shivaji Jayanti festivals to unite people for the freedom cause."
16,Bal Gangadhar Tilak,"Tilak was a scholar and journalist who ran newspapers called Kesari and Mahratta to spread nationalist ideas. He was imprisoned several times by the British for his writings, including a famous six-year sentence in Mandalay, Burma."
17,Sarojini Naidu,"Sarojini Naidu, born 13 February 1879 in Hyderabad, was a poet and freedom fighter known as the 'Nightingale of India' for her lyrical poetry. She was the first Indian woman to become president of the Indian National Congress, in 1925."
18,Sarojini Naidu,"She actively took part in the Salt March and the Quit India Movement and was jailed multiple times. After independence, she became the first woman governor of an Indian state, serving as Governor of Uttar Pradesh from 1947 until her death in 1949."
19,Jawaharlal Nehru,"Jawaharlal Nehru, born 14 November 1889, was a close associate of Gandhi and became India's first Prime Minister after independence on 15 August 1947. His famous 'Tryst with Destiny' speech was delivered at midnight as India gained freedom."
20,Jawaharlal Nehru,"Nehru was jailed multiple times by the British during the freedom struggle, spending roughly nine years in prison across different sentences. He was a strong advocate of modern science, industrialization, and secularism in independent India."
